title,short_description,price
APC Cordset 4.0mm 3W W/32A IEC309R 17.1m Black,,
Motorola U6 PEBL 110 g Black,U6 PEBL,
Iomega REV 70GB USB 2.0 Server Backup & Disaster Recovery Kit external hard drive,REV 70GB USB 2.0 Server Backup & Disaster Recovery Kit,
"Projecta Hapro Manual 228x300 Matte White M projection screen 3.81 m (150"") 4:3",Hapro Manual 228x300 Matte White M,
Canon PIXMA MP460 Inkjet 4800 x 1200 DPI 13.7 ppm A4,"PIXMA MP460 Multifunction, Inkjet, 22ppm, 17ppm, 4800x1200dpi",
"Acer 15.4"" Toploading Bag Executive notebook case 39.1 cm (15.4"") Briefcase Black","15.4"" Toploading Bag Executive",
Philips FWD398 DVD Mini Hi-Fi System,"DVD Mini Hi-Fi System, 100 - 240V, 50/60Hz, 300W, 4200 W PMPO, 20 kg",
Fujitsu SLIM MF (N) keyboard USB,Keyboard SLIM MF Silver/Black (N),
Philips Coaxial cable SWV4118S/10,"Coaxial cable, 20.5m",
Brother 4Y,"48 months, Warranty Extension, On-site, f/ Brother HL3040CN-HL3070CW 3140CW-3170CDW-3150CDW",
HP ProCurve Switch 2708,The ProCurve Switch 2724 and Switch 2708 offer HP Auto-MDIX on all 10/100/1000 ports,
StarTech.com 2 Port PCI Express 1394a FireWire Adapter Card interface cards/adapter,2 Port PCI Express 1394a FireWire Adapter Card,
HP Smart Wireless remote control,HP Smart Wireless Remote Control,1995.0
"ASUS A8F-H008P Notebook 35.8 cm (14.1"") 1280 x 768 pixels Intel® Core™ Solo 0.5 GB DDR2-SDRAM 80 GB Windows XP Professional",A8F-H008P Notebook,
Lenovo ThinkCentre A55 8982 Intel® Pentium® D 915 1 GB DDR2-SDRAM 80 GB Desktop PC Windows Vista Business,"ThinkCentre A55 8982 - Intel Pentium D 915, 1024MB RAM, 80GB HDD, CD-RW / DVD-ROM, Windows Vista Business Edition",
C2G 5m Velocity S-video cable S-Video (4-pin) Black,5m Velocity S-Video Cable,
APC 40208-2M power cable Black,2m Power Cord C-5/CEE-7/7 2.5A/250V,
DELL PowerEdge T140 server Intel Xeon E 3.4 GHz 16 GB DDR4-SDRAM Tower 365 W,,
Multibrackets M Pro Series From Wall MBFW1U,"M Pro Series From Wall MBFW1U - Wall mount for LCD display, steel, 1 screen, single side, fixed, VESA Max 600x400 - screen size: 42""-65” - black",
HP Compaq dx2250 Microtower PC,Compaq dx2250 Microtower PC,
C2G 6ft LVD/SE VHDCI .8mm 68M to SCSI-3 MD68M (TS) Cable SCSI cable Black 1.82 m,6ft LVD/SE VHDCI .8mm 68M to SCSI-3 MD68M (TS) Cable,
"Sony VAIO VX71P 35.8 cm (14.1"") 1024 x 768 pixels 0.25 GB 30 GB","VAIO GVX71P PIII850 256MB 30GB QW-EN VX71P PIII850 Ghz 256MB 30GB 14""TFT WXP Pro (QW-UK)",
"Tactic Top Wing 3-in-1 : Memo, Lotto, Domino Matching card game",,
"Lenovo ThinkPad X390 Yoga Hybrid (2-in-1) Black 33.8 cm (13.3"") 1920 x 1080 pixels Touchscreen 8th gen Intel® Core™ i7 16 GB DDR4-SDRAM 512 GB SSD Windows 10 Pro","Intel Core i7-8565U (8MB Cache, 1.8GHz), 16GB DDR4-SDRAM, 512GB SSD, 33.8 cm (13.3"") Full HD 1920 x 1080 IPS Touch, Intel UHD Graphics 620, Webcam, Windows 10 Pro 64-bit",
Acer Power F6 Intel® Celeron® 0.5 GB DDR2-SDRAM 80 GB Tower PC Windows XP Professional,"genuine Windows® XP Professional Celeron D346 3.0GHz, 512MB DDR2 533 PC4200, 80GB-7200 SATA, Combo drive",
Toshiba Satellite Pro A120-11H,,
Lexmark 2350198P warranty/support extension,E260 1 year return-to-base warranty (Renewal),
"Toshiba 32CV505DB TV 81.3 cm (32"") HD Black","32"" ,1366 x 768 , 500 cd/m2, 30000:1, HD Ready",
"Sony Portable DVD Player Black 20.3 cm (8"") 800 x 480 pixels",DVP-FX875 - Portable DVD Player with 8” Twisting High Resolution LCD Screen and rear-seat mounting bracket for comfortable and convenient viewing in-car,
Samsung HD DVD-Player DVD player Black,,
Toshiba 3rd + 4th yr PickUp & Return (Notebooks with 2 yea,,
"Acer Veriton S461 Intel® Core™2 Duo E8400 2 GB DDR2-SDRAM 80 GB Desktop Black,Silver PC Windows Vista Business","VS461-UD8401C - Genuine Windows Vista® Business , Intel® Core™2 Duo Processor E8400 (6MB L2 cache, 3.0Ghz, 1333Mhz FSB), 2GB (1/1/0/0) DDR2 SDRAM, 80GB SATA hard drive, DVD-Dual drive (DVD+/-RW), Intel® Graphics Media Accelerator 3100, gigabit LAN",
OKI 43503601 printer ribbon Black,high quality black ribbon for ML6300,2195.0
LG DRT389H DVD/Blu-Ray player DVD recorder Black,DRT389H digital TV recorder with DVD recorder,
Allied Telesis 10/100 x 48 ports managed Fast Ethernet Layer 3 switch L3 White,10/100 x 48 ports managed Fast Ethernet Layer 3 switch with 4 SFP expansion bays,
C2G 1m USB 2.0 A to Mini-b Cable,1m USB 2.0 A/Mini-B Cable,3095.0
Canon All-in 12 service box,,
Lexmark X543dn Laser 1200 x 1200 DPI 20 ppm A4,,
Acer AcerPower SD2.2-LCXPP C2.2 40GB 128MB Intel® Celeron® 0.125 GB PC,,
"Intel SR2600URBRPR server barebone Intel® 5520 Socket B (LGA 1366) Rack (2U) Black,Silver",Server System SR2600URBRPR,120995.0
